text_content,is_dark_pattern
"Hurry! Limited-time offer ends in 1 hour!",1
"Shop our exclusive deals now!",1
"Free shipping on orders over $50.",0
"Last chance to grab this amazing deal!",1
"Our products are top quality and affordable.",0
"Flash sale: 50% off for the next 30 minutes!",1
"Explore our collection today.",0
"Act now, don't miss out on this once-in-a-lifetime offer!",1
"Every purchase comes with a free gift!",1
"Regular prices slashed for a limited time!",1
"Discover our new arrivals and save 20%.",1
"Buy one, get one free! Limited stock available.",1
"Join our newsletter for exclusive discounts.",0
"Unbeatable prices on all products.",0
"Final clearance: up to 70% off!",1
"Sign up now to receive a special welcome discount.",1
"Exclusive members-only access to premium deals.",1
"Get a sneak peek of our upcoming sales.",0
"New customers enjoy 15% off their first order.",1
"Limited stock, act fast to secure your purchase.",1
"Refer a friend and get extra discounts.",1
"Explore our bestsellers at unbeatable prices.",0
"Special discount for loyalty program members.",1
"Guaranteed satisfaction or your money back.",0
"Shop confidently with our secure payment system.",0
"Early access for VIP customers.",1
"Subscribe now and never miss a deal!",1
"Enjoy the convenience of one-click shopping.",0
"Save big on our weekend flash sale!",1
"Upgrade to premium membership for exclusive offers.",1
"Limited-time bundle deals on popular items.",1
"Get 50% off when you buy in the next 24 hours.",1
"Unlock hidden discounts with a secret code.",1
"Act fast, only a few items left in stock!",1
"Double your savings with our limited-time promotion.",1
"Shop now and receive a mystery gift at checkout.",1
"Exclusive online-only discounts for our web visitors.",1
"Claim your special discount as a valued customer.",1
"End-of-season clearance: up to 60% off!",1
"Subscribe to SMS alerts for instant deals.",1
"Grab your favorite items before they're gone!",1
"Members-only flash sale happening now.",1
"Shop with confidence - 100% satisfaction guaranteed.",0
"Unlock VIP status for access to exclusive sales.",1
"Instant rebate available for a limited time.",1
"Get an extra 10% off when you share on social media.",1
"Early bird special: save 25% on pre-orders.",1
"Upgrade your cart for additional surprise discounts.",1
"Act quickly, prices go up at midnight!",1
"Shop now, pay later with our flexible payment plans.",0
"Exclusive discounts for email subscribers.",0
"Clearance event: lowest prices of the year!",1
"Unlock a special offer on your next purchase.",1
"Shop the secret sale with a private invitation.",1
"Daily deals on our best-selling products.",1
"Subscribe for a chance to win a shopping spree.",1
"Flash Friday sale: don't miss out on huge savings!",1
"Buy now and get a bonus gift with your order.",1
"Limited-time offer: exclusive access to our VIP sale.",1
"Special discounts for early shoppers.",1
"Flashback sale: relive the savings for a limited time.",1
"Experience the thrill of surprise discounts.",1
"Exclusive deals for app users only.",1
"Early access for loyal customers.",1
"Get a secret discount code when you share your wishlist.",1
"Unwrap the savings with our holiday deals.",1
"Join our elite membership for premium discounts.",1
"Last-minute deals - act fast before they disappear!",1
"Unlock hidden savings with our loyalty program.",1
"Shop smart with our limited-time promotions.",1
"Early access to the Black Friday sale - subscribe now!",1
"Get a bonus gift when you spend over $100.",1
"Exclusive flash sale for our top customers.",1
"Double your discount when you shop during happy hour.",1
"Claim your spot in our exclusive online event.",1
"Subscribe for early access to our summer sale.",1
"Get an extra 15% off when you use code 'EXCLUSIVE15'.",1
"Flash sale countdown: only a few hours left!",1
"Exclusive discounts for our anniversary celebration.",1
"Join the club for members-only savings.",1
"Shop now and get a surprise discount at checkout.",1
"Upgrade to VIP status for premium perks and deals.",1
"Claim your limited-time offer before it's too late.",1
"Unlock a special discount when you complete your purchase.",1
"Subscribe and be the first to know about our new arrivals.",0
"Shop now and save big with our secret promotions.",1
"Exclusive flash sale for our email subscribers.",1
"Early access to the holiday sale - subscribe today!",1
"Get a bonus gift when you refer a friend.",1
"Shop the secret sale with your exclusive invitation.",1
"Unlock hidden savings with our mystery discounts.",1
"Subscribe to SMS alerts for instant flash sale notifications.",1
"VIP members enjoy extra perks during our summer event.",1
"Flash sale alert: limited-time offers on your favorite products.",1
"Shop now and receive a special thank-you discount.",1
"Unlock exclusive discounts when you share on social media.",1
"Subscribe for a chance to win a shopping spree.",1
"Enjoy members-only pricing during our anniversary sale.",1
"Flash sale countdown: only a few minutes left!",1
"Exclusive sneak peek of our upcoming Black Friday deals.",1
"Unlock hidden savings with our surprise flash sale.",1
"Get an extra 10% off when you download our mobile app.",1
"Shop now and discover secret discounts at checkout.",1
"Early access for our most loyal customers.",1
"Unlock VIP status for exclusive access to our private sale.",1
"Flash sale alert: prices drop every hour!",1
"Subscribe and get a special discount on your next order.",1
"Hurry! Limited-time offer ends in 1 hour!",1
"Shop our exclusive deals now!",1
"Free shipping on orders over $50.",0
"Last chance to grab this amazing deal!",1
"Our products are top quality and affordable.",0
"Flash sale: 50% off for the next 30 minutes!",1
"Explore our collection today.",0
"Act now, don't miss out on this once-in-a-lifetime offer!",1
"Every purchase comes with a free gift!",1
"Regular prices slashed for a limited time!",1
"Discover our new arrivals and save 20%.",1
"Buy one, get one free! Limited stock available.",1
"Join our newsletter for exclusive discounts.",0
"Unbeatable prices on all products.",0
"Final clearance: up to 70% off!",1
